StockCode,Forecast_Week,Forecast_Qty,Lower_Bound,Upper_Bound
10002,2011-05-01,40.21596720249622,32.17277376199698,48.25916064299547
10002,2011-05-08,40.039831570973476,32.03186525677878,48.04779788516817
10002,2011-05-15,40.516828907929465,32.41346312634357,48.62019468951536
10002,2011-05-22,40.2850882068513,32.22807056548104,48.34210584822156
10080,2011-12-04,22.67577182208343,18.140617457666746,27.210926186500114
10080,2011-12-11,21.958668827260936,17.56693506180875,26.350402592713124
10080,2011-12-18,22.503688555025644,18.002950844020514,27.004426266030773
10080,2011-12-25,21.572423523577125,17.2579388188617,25.88690822829255
10120,2011-12-18,6.368113085419356,5.0944904683354855,7.641735702503227
10120,2011-12-25,6.281910849282352,5.025528679425882,7.5382930191388215
10120,2012-01-01,6.002219297611468,4.801775438089175,7.202663157133761
10120,2012-01-08,5.794615871920846,4.635692697536677,6.953539046305015
10123C,2011-04-17,1.0937049562185304,0.8749639649748243,1.3124459474622363
10123C,2011-04-24,1.0810056905458274,0.864804552436662,1.297206828654993
10123C,2011-05-01,1.0603723410308565,0.8482978728246853,1.2724468092370278
10123C,2011-05-08,1.0624299282883958,0.8499439426307167,1.2749159139460748
10124A,2011-11-20,3.2048232545593316,2.5638586036474655,3.8457879054711976
10124A,2011-11-27,3.186735761510558,2.5493886092084463,3.8240829138126693
10124A,2011-12-04,3.1889110685435957,2.551128854834877,3.8266932822523145
10124A,2011-12-11,3.19489337601621,2.555914700812968,3.833872051219452
10124G,2011-11-20,3.9786572552690602,3.182925804215248,4.774388706322872
10124G,2011-11-27,3.967537432005911,3.174029945604729,4.7610449184070935
10124G,2011-12-04,3.9643408433355467,3.1714726746684376,4.757209012002656
10124G,2011-12-11,3.9627661223363395,3.170212897869072,4.755319346803607
10125,2011-12-25,20.176379058703898,16.14110324696312,24.211654870444676
10125,2012-01-01,18.33150802899457,14.665206423195656,21.997809634793484
10125,2012-01-08,16.681535450502743,13.345228360402196,20.01784254060329
10125,2012-01-15,17.371715159734958,13.897372127787968,20.846058191681948
10133,2011-09-25,86.32891769490817,69.06313415592653,103.59470123388981
10133,2011-10-02,85.0314130413317,68.02513043306537,102.03769564959804
10133,2011-10-09,87.09487777708308,69.67590222166648,104.51385333249969
10133,2011-10-16,88.27573592942223,70.62058874353778,105.93088311530667
10135,2011-12-25,27.426555445757568,21.941244356606056,32.91186653490908
10135,2012-01-01,23.0185671768379,18.41485374147032,27.622280612205483
10135,2012-01-08,20.592363092692,16.473890474153603,24.7108357112304
10135,2012-01-15,20.55332906805846,16.442663254446767,24.663994881670153
11001,2011-12-18,22.305178055864438,17.844142444691553,26.766213667037324
11001,2011-12-25,21.748210137545506,17.398568110036404,26.097852165054608
11001,2012-01-01,20.157865891557798,16.12629271324624,24.189439069869355
11001,2012-01-08,16.70852080379356,13.36681664303485,20.050224964552275
15030,2011-12-25,5.313550913174281,4.250840730539426,6.376261095809137
15030,2012-01-01,4.844854186481234,3.875883349184987,5.81382502377748
15030,2012-01-08,4.498065426093697,3.5984523408749576,5.397678511312436
15030,2012-01-15,4.307610333769547,3.4460882670156376,5.169132400523456
15034,2011-12-11,60.96837349238236,48.77469879390589,73.16204819085883
15034,2011-12-18,61.388823455166055,49.11105876413285,73.66658814619926
15034,2011-12-25,65.41075122396398,52.32860097917119,78.49290146875678
15034,2012-01-01,59.28402798531193,47.42722238824955,71.14083358237431
15036,2011-12-18,125.41507420652019,100.33205936521615,150.4980890478242
15036,2011-12-25,121.10407485302284,96.88325988241827,145.3248898236274
15036,2012-01-01,107.54768611988929,86.03814889591143,129.05722334386715
15036,2012-01-08,88.55327658424824,70.8426212673986,106.26393190109788
